Volcano Name
Abu
Acamarachi
Acatenango
Acigöl-Nevsehir
Adams
Adams Seamount
Adatara
Adwa
Afderà
Agrigan
Agua
Agua de Pau
Aguilera
Agung
Ahyi
Akademia Nauk
Akagi
Akan
Akhtang
Akita Komagatake
Akita Yakeyama
Akuseki-jima
Akutan
Alaid
Alamagan
Alayta
Alban Hills
Alcedo
Ale Bagu
Alid
Altiplano-Puna Volcanic Complex
Ambrym
Anatahan
Aneityum
Aniakchak
Antisana
Aoba
Ararat
Arenal
Arintica
Asacha
Asama
Ascensión
Askja
Aso
Atitlán
Atka
Atsonupuri
Augustine
Avachinsky
Awu
Axial Seamount
Ayelu
Azufre
Azuma
Babuyon Claro
Bachelor
Bagana
Baker
Bam
Bamus
Bandai
Barren Island
Barrier
Bazman
Beerenberg
Belknap
Bezymianny
Biliran
Bolshoi Semiachik
Bulusan
Butajira
Cameroon (Mount)
Camiguin de Babuyanes
Canlaon
Capulin
Carrizozo
Cayambe
Cereme
Chaine des Puys
Chiginagak
Chikurachki
Chimborazo
Cleveland
Coatepeque
Colima
Columbia River Flood Basalts
Concepción
Copahue
Cosigüina
Cotopaxi
Crater Lake
Craters of the Moon
Daisetsu
Dakataua
Damavand
Deccan Traps
Dempo
Devils Garden
Devils Tower
Diamond Craters
Dieng Volcanic Complex
Diky Greben
Dubbi
Dukono
East Epi
Ebeko
Egmont (Taranaki)
Egon
El Chichon
Elbrus
Erebus
Erta Ale
Etna
Fantale
Fernandina
Fisher
Fogo
Fort Rock
Frosty Peak
Fuego
Fuerteventura
Fuji
Furnas
Fuss Peak
Galeras
Galunggung
Gamalama
Gamchen
Gamkonora
Gareloi
Gaua
Gede
Glacier Peak
Gorely
Graciosa
Gran Canaria
Great Sitkin
Griggs
Grímsvötn
Guagua Pichincha
Guallatiri
Guguan
Hakone
Heard
Hibok-hibok
Hierro
Hood
Hualalai
Ibu
Ijen
Iliamna
Iliboleng
Iliniza
Ilopango
Ilyinsky
Ioto (Iwo-jima)
Iraya
Irazu
Isanotski
Izalco
Iztaccihuatl
Izu-Tobu
Jailolo
Jefferson
Jordan Craters
Kadovar
Kaguyak
Kahoolawe
Kambalny
Kanaga
Kanlaon
Karangetang [Api Siau]
Karisimbi
Congo
Rwanda
""
Karthala
Karymsky
Katla
Katmai
Katwe-Kikorongo
Kavachi
Kell
Kelut
Kerinci
Khodutka
Kialagvik
Kick 'em Jenny
Kikai
Kikhpinych
Kilauea
Kilimanjaro
Kirishima
Kliuchevskoi
Komagatake
Kone
Koryaksky
Koshelev
Krafla
Krakatau
Krasheninnikov
Kronotsky
Ksudach
Kukak
Kusatsu-Shirane
Kutcharo
Kuttara
Kuwae
La Palma
Lamington
Langila
Lanzarote
Láscar
Lereboleng
Lewotobi
Lewotolo
Liamuiga
Lipari
Little Sitkin
Loihi
Lokon-Empung
Lolo
Lolobau
Loloru
Long Island
Longonot
Lopevi
Maderas
Mageik
Mahawu
Makian
Maly Semiachik
Manam
Mariveles
Marsabit
Masaya
Mashkovtsev
Mashu
Mauna Kea
Mauna Loa
Mayon
McDonald Islands
McLoughlin
Mega Basalt Field
Menan Buttes
Menengai
Merapi
Merbabu
Meru
Methana
Metis Shoal
Michael
Michoacan-Guanajuato
Mílos
Miyake-jima
Moffett
Mojanda
Momotombo
Monaco Bank
Mono Lake Vol Field
Monowai Seamount
Moti
Muria
Nantai
Nasu
Navajo Volcanic Field
Cerro Negro
Nemo Peak
Nevis Peak
Newberry
Newer Volcanics Province
Ngauruhoe
Nikko-Shirane
Nipesotsu-Maruyama
Nisyros
Nyambeni Hills
Nyamuragira
Nyiragongo
Oahu
Ojos del Salado
Okataina
Okmok
Oku Volcanic Field
Ol Doinyo Lengai
Opala
Oraefajokull
Oshima
Pacaya
Pagan
Pago
Papandayan
Paricutin
Parinacota
Pauzhetka
Pavlof
Pavlof Sister
Pelee
Peuet Sague
Pico
Las Pilas
Pinacate
Pinatubo
Pisgah Lava Field
Piton de la Fournaise
Poas
Popocatepetl
Prevo Peak
Purace
The Quill
Rabaul
Ragang
Raikoke
Rainier
Rajabasa
Raoul
Rasshua
Raung
Rausu
Redoubt
Reventador
Rincon de la Vieja
Roundtop
Ruapehu
Rudakov
Nevado del Ruiz
Rumble IV
Saba
Sabancaya
Sakar
Sakura-jima
Salak
San Cristobal
San Salvador
San Vicente
Sanford
Sangay
Santa Ana
Santa Maria
Santorini
Sarychev Peak
Savo
Segula
Semeru
Semisopochnoi
Sete Cidades
Shasta
Sheveluch
Shikotsu
Shiretoko-Iwo-zan
Shishaldin
Sinarka
Smirnov
Sollipulli
Soputan
Soufriere Guadeloupe
Soufrière Hills
Soufrière St. Vincent
South Island
SP Mountain
Spurr
Srednii
Steller
Stromboli
Sumaco
Sumbing
Sundoro
Sunset Craters
Suswa
Suwanose-jima
Taal
Talang
Tambora
Tambora
Tanaga and Takawangha
Tanaga and Takawangha
Tangkubanparahu
Tao-Rusyr Caldera
Tarso Voon
Telica Volcano
Tenerife
Tengger Caldera and Bromo
Three Fingered Jack
Three Sisters
Thule Islands
Tiatia
Toba
Todoko-Ranu
Tokachi
Tolbachik
Tolimán
Towada
Traitor's Head
Tri Sestry
Tristan da Cunha
Tsurumi
Tungurahua
Ubehebe Craters
Ubinas
Udina
Ugashik and Peulik
Uinkaret Volcanic Field
Ulawun
Umboi
Undara
Ungaran and Telomoyo
Unzen
Urataman
Ushishur
Usu
Uzon
Veniaminof
Vernadskii Ridge
Vesuvius
Villarrica
Vilyuchik
Visoke
Vsevidof and Recheschnoi Volcanoes
Vulcano
Washington
Wau-en-Namus
Westdahl
White Island
Wrangell
Wudalianchi
Yake-dake
Yali
Yantarni
Yasur
Yellowstone
Zavaritzki Caldera
Zheltovsky
Zhupanovsky
Zimina
